gross,genres,month
177343675,Comedy,3
177343675,Family,3
177343675,Family,3
177343675,Family,3
177343675,Fantasy,3
177343675,Fantasy,3
177343675,Fantasy,3
177343675,Sci-Fi,3
177343675,Sci-Fi,3
177343675,Sci-Fi,3
234277056,Adventure,6
234277056,Sci-Fi,6
234277056,Thriller,6
138396624,Action,7
138396624,Comedy,7
138396624,Crime,7
138396624,Thriller,7
149234747,Action,10
149234747,Adventure,10
149234747,Animation,10
149234747,Comedy,10
149234747,Family,10
149234747,Fantasy,10
118311368,Action,7
118311368,Crime,7
118311368,Mystery,7
118311368,Thriller,7
101160529,Action,3
101160529,Adventure,3
101160529,Drama,3
77564037,Action,10
77564037,Adventure,10
77564037,Family,10
77564037,Mystery,10
249358727,Adventure,5
249358727,Family,5
249358727,Fantasy,5
249358727,Mystery,5
49551662,Adventure,11
49551662,Drama,11
49551662,Romance,11
49551662,War,11
60522097,Action,5
60522097,Adventure,5
60522097,Sci-Fi,5
137748063,Adventure,5
137748063,Animation,5
137748063,Family,5
137748063,Thriller,5
113733726,Adventure,12
113733726,Comedy,12
113733726,Family,12
113733726,Fantasy,12
148337537,Action,10
148337537,Animation,10
148337537,Comedy,10
148337537,Family,10
148337537,Sci-Fi,10
317557891,Adventure,11
317557891,Family,11
317557891,Fantasy,11
33592415,Action,7
33592415,Comedy,7
33592415,Fantasy,7
305388685,Action,6
305388685,Adventure,6
305388685,Fantasy,6
337103873,Adventure,11
337103873,Sci-Fi,11
337103873,Thriller,11
217536138,Mystery,5
217536138,Thriller,5
131536019,Adventure,3
131536019,Animation,3
131536019,Comedy,3
131536019,Family,3
131536019,Musical,3
214948780,Action,4
214948780,Adventure,4
214948780,Fantasy,4
214948780,Sci-Fi,4
214948780,Thriller,4
209805005,Action,4
209805005,Crime,4
209805005,Thriller,4
186830669,Action,12
186830669,Adventure,12
186830669,Crime,12
186830669,Mystery,12
186830669,Thriller,12
163192114,Action,3
163192114,Action,3
163192114,Adventure,3
163192114,Adventure,3
163192114,Fantasy,3
163192114,Fantasy,3
119412921,Action,5
119412921,Action,5
119412921,Sci-Fi,5
119412921,Sci-Fi,5
32694788,Action,8
32694788,Adventure,8
32694788,History,8
113165635,Action,7
113165635,Adventure,7
113165635,Thriller,7
107285004,Action,NA
260031035,Comedy,11
260031035,Family,11
260031035,Fantasy,11
186739919,Action,5
186739919,Adventure,5
186739919,Sci-Fi,5
186739919,Thriller,5
215397307,Action,5
215397307,Adventure,5
215397307,Thriller,5
182618434,Action,6
182618434,Adventure,6
182618434,Drama,6
182618434,Thriller,6
131920333,Action,6
131920333,Adventure,6
131920333,Sci-Fi,6
131920333,Thriller,6
124976634,Adventure,9
124976634,Drama,9
124976634,Fantasy,9
115802596,Action,1
115802596,Fantasy,1
115802596,Thriller,1
108521835,Action,7
108521835,Thriller,7
100685880,Action,6
100685880,Adventure,6
100685880,Comedy,6
100685880,Crime,6
126464904,Adventure,4
126464904,Mystery,4
126464904,Sci-Fi,4
64736114,Adventure,7
64736114,Animation,7
64736114,Comedy,7
64736114,Family,7
64736114,Fantasy,7
93050117,Action,8
93050117,Drama,8
93050117,Sci-Fi,8
93050117,Thriller,8
57637485,Action,6
57637485,Adventure,6
57637485,Sci-Fi,6
57637485,Thriller,6
58607007,Action,1
58607007,Action,1
58607007,Crime,1
58607007,Crime,1
58607007,Sci-Fi,1
58607007,Sci-Fi,1
58607007,Thriller,1
58607007,Thriller,1
43929341,Action,4
43929341,Family,4
43929341,Sport,4
30212620,Comedy,12
30212620,Drama,12
30212620,Romance,12
76418654,Action,6
76418654,Comedy,6
76418654,Romance,6
89021735,Action,3
89021735,Adventure,3
89021735,Mystery,3
89021735,Sci-Fi,3
380262555,Action,5
380262555,Adventure,5
380262555,Fantasy,5
380262555,Sci-Fi,5
310675583,Action,5
310675583,Adventure,5
310675583,Fantasy,5
310675583,Sci-Fi,5
289907418,Adventure,10
289907418,Animation,10
289907418,Comedy,10
289907418,Family,10
289907418,Fantasy,10
132550960,Action,7
132550960,Adventure,7
132550960,Sci-Fi,7
132550960,Thriller,7
474544677,Action,5
474544677,Adventure,5
474544677,Fantasy,5
474544677,Sci-Fi,5
187165546,Adventure,2
187165546,Animation,2
187165546,Comedy,2
187165546,Family,2
187165546,Fantasy,2
40911830,Action,6
40911830,Drama,6
40911830,War,6
47952020,Action,3
47952020,Adventure,3
47952020,Drama,3
47952020,Fantasy,3
190871240,Action,8
190871240,Action,8
190871240,Adventure,8
190871240,Adventure,8
190871240,Comedy,8
190871240,Comedy,8
190871240,Sci-Fi,8
190871240,Sci-Fi,8
274084951,Adventure,8
274084951,Drama,8
274084951,Sci-Fi,8
274084951,Thriller,8
67155742,Action,NA
67155742,Adventure,NA
67155742,Thriller,NA
81638674,Action,5
81638674,Adventure,5
81638674,Comedy,5
81638674,Sci-Fi,5
56114221,Action,8
56114221,Action,8
56114221,Adventure,8
56114221,Adventure,8
56114221,Sci-Fi,8
56114221,Sci-Fi,8
250863268,Action,12
250863268,Adventure,12
250863268,Comedy,12
250863268,Family,12
250863268,Fantasy,12
155181732,Action,5
155181732,Adventure,5
155181732,Drama,5
155181732,Thriller,5
125332007,Action,12
125332007,Adventure,12
125332007,Thriller,12
113330342,Action,6
113330342,Drama,6
113330342,History,6
113330342,War,6
125531634,Crime,12
125531634,Thriller,12
186336103,Action,6
186336103,Comedy,6
186336103,Crime,6
186336103,Romance,6
186336103,Thriller,6
129995817,Adventure,3
129995817,Sci-Fi,3
129995817,Thriller,3
102608827,Biography,12
102608827,Drama,12
42776259,Adventure,12
42776259,Comedy,12
42776259,Family,12
42776259,Fantasy,12
98780042,Action,1
98780042,Comedy,1
98780042,Crime,1
98780042,Sci-Fi,1
98780042,Thriller,1
106369117,Action,3
106369117,Drama,3
106369117,Fantasy,3
106369117,War,3
142614158,Adventure,7
142614158,Animation,7
142614158,Comedy,7
142614158,Family,7
142614158,Fantasy,7
50026353,Animation,3
50026353,Comedy,3
50026353,Family,3
50026353,Music,3
50026353,Western,3
66002193,Action,3
66002193,Adventure,3
66002193,Mystery,3
66002193,Sci-Fi,3
66002193,Thriller,3
85463309,Action,9
85463309,Drama,9
85463309,Sci-Fi,9
85463309,Sport,9
71017784,Adventure,7
71017784,Animation,7
71017784,Comedy,7
71017784,Family,7
71017784,Fantasy,7
48068396,Action,NA
48068396,Crime,NA
48068396,Romance,NA
48068396,Thriller,NA
61656849,Action,10
61656849,Sci-Fi,10
134520804,Action,6
134520804,Adventure,6
134520804,Thriller,6
313837577,Action,12
313837577,Adventure,12
313837577,Drama,12
313837577,Fantasy,12
24004159,Action,6
24004159,Action,6
24004159,Adventure,6
24004159,Adventure,6
24004159,Comedy,6
24004159,Comedy,6
58183966,Biography,12
58183966,Drama,12
58183966,Sport,12
100446895,Adventure,11
100446895,Comedy,11
100446895,Family,11
100446895,Fantasy,11
144795350,Action,7
144795350,Mystery,7
144795350,Sci-Fi,7
144795350,Thriller,7
47396698,Action,5
47396698,Adventure,5
47396698,Drama,5
47396698,History,5
47396698,War,5
140015224,Adventure,12
140015224,Comedy,12
140015224,Family,12
140015224,Fantasy,12
104374107,Animation,11
104374107,Family,11
104374107,Fantasy,11
104374107,Musical,11
104374107,Romance,11
228430993,Adventure,9
228430993,Drama,9
228430993,Sci-Fi,9
35799026,Action,7
35799026,Action,7
35799026,Adventure,7
35799026,Adventure,7
35799026,Romance,7
35799026,Romance,7
35799026,Sci-Fi,7
35799026,Sci-Fi,7
35799026,Thriller,7
35799026,Thriller,7
6712451,Comedy,4
6712451,Romance,4
101643008,Action,6
101643008,Crime,6
101643008,Thriller,6
187670866,Action,5
187670866,Drama,5
187670866,Romance,5
132014112,Action,6
132014112,Mystery,6
132014112,Sci-Fi,6
132014112,Thriller,6
261970615,Adventure,11
261970615,Family,11
261970615,Fantasy,11
261970615,Mystery,11
167007184,Action,11
167007184,Action,11
167007184,Adventure,11
167007184,Adventure,11
167007184,Thriller,11
167007184,Thriller,11
180011740,Action,7
180011740,Action,7
180011740,Adventure,7
180011740,Adventure,7
180011740,Sci-Fi,7
180011740,Sci-Fi,7
180011740,Thriller,7
180011740,Thriller,7
204843350,Action,7
204843350,Sci-Fi,7
97030725,Biography,6
97030725,Crime,6
97030725,Drama,6
97030725,History,6
97030725,Romance,6
130127620,Biography,10
130127620,Crime,10
130127620,Drama,10
146282411,Action,7
146282411,Comedy,7
146282411,Thriller,7
65452312,Action,6
65452312,Crime,6
65452312,Thriller,6
148383780,Comedy,12
148383780,Romance,12
119219978,Action,8
119219978,Comedy,8
119219978,Crime,8
101228120,Action,6
101228120,Drama,6
101228120,Mystery,6
101228120,Thriller,6
162804648,Drama,12
162804648,Western,12
100117603,Animation,6
100117603,Drama,6
100117603,Family,6
100117603,Musical,6
100117603,Romance,6
89296573,Adventure,12
89296573,Animation,12
89296573,Comedy,12
89296573,Family,12
89296573,Fantasy,12
85017401,Action,8
85017401,Adventure,8
85017401,Thriller,8
173005002,Action,11
173005002,Adventure,11
173005002,Comedy,11
173005002,Family,11
173005002,Mystery,11
75030163,Action,12
75030163,Adventure,12
75030163,Family,12
75030163,Fantasy,12
77222184,Adventure,10
77222184,Drama,10
77222184,Family,10
77222184,Fantasy,10
34964818,Adventure,9
34964818,Adventure,9
34964818,Adventure,9
34964818,Family,9
34964818,Family,9
34964818,Family,9
34964818,Fantasy,9
34964818,Fantasy,9
34964818,Fantasy,9
107515297,Adventure,5
107515297,Animation,5
107515297,Family,5
107515297,Fantasy,5
67631157,Action,12
67631157,Action,12
67631157,Romance,12
67631157,Romance,12
67631157,Thriller,12
67631157,Thriller,12
66862068,Action,11
66862068,Fantasy,11
66862068,Horror,11
66862068,Mystery,11
57366262,Adventure,12
57366262,Drama,12
57366262,Thriller,12
116866727,Biography,12
116866727,Comedy,12
116866727,Crime,12
116866727,Drama,12
184031112,Action,6
184031112,Adventure,6
184031112,Fantasy,6
54700065,Action,11
54700065,Sci-Fi,11
54700065,War,11
27098580,Drama,9
27098580,Sci-Fi,9
55673333,Action,9
55673333,Adventure,9
55673333,Animation,9
55673333,Family,9
55673333,Fantasy,9
40198710,Action,7
40198710,Crime,7
40198710,Fantasy,7
40198710,Romance,7
40198710,Thriller,7
72660029,Action,7
72660029,Action,7
72660029,Adventure,7
72660029,Adventure,7
38120554,Adventure,11
38120554,Animation,11
38120554,Family,11
38120554,Sci-Fi,11
49392095,Adventure,6
